id,vessel,type,subtype,media_count,source_media_mib,local_assets,desktop_focus,specific_issues,editorial_review,mobile_focus
"B-0001","contact-sheet","memory","experiment","3","1.57","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0002","display-case","thing","object","1","0.53","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0003","film-strip","memory","event","4","13.80","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0005","film-strip","memory","event","2","1.78","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0006","display-case","thing","object","2","10.98","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0007","scan","thing","object","1","6.58","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0008","scan","memory","event","1","5.32","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0010","display-case","thing","object","1","4.22","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0011","film-strip","thing","project","4","11.75","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0012","scrap","thing","object","1","3.42","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0013","polaroid","memory","experiment","1","4.20","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0014","display-case","thing","object","1","4.37","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0015","scan","thing","project","1","2.58","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0016","display-case","thing","object","1","4.77","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0017","scan","thing","object","1","4.93","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0018","display-case","thing","experiment","1","0.28","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0019","polaroid","memory","event","1","0.31","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0020","polaroid","memory","event","1","4.13","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0021","polaroid","memory","event","1","4.85","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0022","film-strip","memory","event","3","17.30","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0023","polaroid","memory","event","1","2.81","all present","opened; no horizontal overflow","Empty media alt text; No textual context","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0025","film-strip","memory","event","4","7.14","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0026","film-strip","memory","event","2","2.62","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0031","film-strip","memory","event","2","9.29","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0036","polaroid","memory","event","1","2.39","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0037","scan","memory","event","1","3.48","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0038","polaroid","memory","event","1","4.27","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0040","polaroid","memory","event","1","5.71","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0042","display-case","thing","object","1","4.92","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0049","display-case","thing","project","1","4.60","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0051","display-case","thing","project","1","4.20","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0052","scan","thing","collection","1","1.57","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0055","display-case","thing","object","1","3.88","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0056","polaroid","memory","moment","1","3.28","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0057","checklist","thought","list","0","0.00","all present","opened; no horizontal overflow","","Spelling review: nasea/siddartha; preserve original note if intentional.","opened; no horizontal overflow"
"B-0058","notes-app","thought","list","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0059","scrap","thought","note","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0060","checklist","thought","list","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0061","checklist","thought","goal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0062","scrap","thought","note","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0063","film-strip","thing","project","2","10.64","all present","opened; no horizontal overflow","Empty media alt text","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0064","notes-app","thought","list","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0065","email","thought","email","0","0.00","all present","opened; no horizontal overflow","Fabricated date fallback Aug 2026","Very long grid email; add excerpt using shared rules, full text in focus.","opened; no horizontal overflow"
"B-0067","checklist","thought","list","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0068","plain-note","thought","rule","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0069","notes-app","thought","list","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0070","email","thought","email","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0071","scrap","thought","rule","0","0.00","all present","opened; no horizontal overflow","Fabricated date fallback Aug 2026","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0072","journal","thought","journal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0073","journal","thought","journal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0074","journal","thought","journal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0075","journal","thought","journal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0076","journal","thought","journal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0077","plain-note","thought","journal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0078","notes-app","thought","list","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0079","project-card","thought","email","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0080","journal","thought","journal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0081","plain-note","thought","journal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0082","journal","thought","journal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0083","scrap","thought","journal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0084","journal","thought","journal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0085","scrap","thought","journal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0086","polaroid","memory","photograph","1","4.71","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0087","browser","thing","project","1","0.05","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0089","display-case","thing","object","1","2.30","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0090","display-case","thing","project","1","5.73","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0091","polaroid","memory","photograph","1","5.82","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0092","scan","memory","event","1","2.54","all present","opened; no horizontal overflow","No textual context","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0093","display-case","thing","project","1","4.89","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0094","browser","memory","project","1","4.59","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0095","display-case","thing","object","3","4.05","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0096","scan","thing","art","1","0.06","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0097","scan","thing","project","1","2.08","all present","opened; no horizontal overflow","","Dense spreadsheet needs readable inspection or useful description; grid image alone cannot explain it.","opened; no horizontal overflow"
"B-0100","spreadsheet","thing","project","1","0.13","all present","opened; no horizontal overflow","","Dense spreadsheet; clarify image purpose/access to detail.","opened; no horizontal overflow"
"B-0101","journal","thought","journal excerpt","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0102","notes-app","thing","list","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0105","scrap","thought","journal excerpt","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0107","journal","thought","journal excerpt","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0110","email","thought","email","0","0.00","all present","opened; no horizontal overflow","","Long email dominates grid; use shared excerpt.","opened; no horizontal overflow"
"B-0111","email","thought","email","0","0.00","all present","opened; no horizontal overflow","","Long email dominates grid; use shared excerpt.","opened; no horizontal overflow"
"B-0112","email","thing","email","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0113","sticky-note","thought","rule","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0114","sticky-note","thought","note","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0115","checklist","thing","list","0","0.00","all present","opened; no horizontal overflow","","Long checklist dominates grid; excerpt consistently.","opened; no horizontal overflow"
"B-0116","notes-app","thing","list","0","0.00","all present","opened; no horizontal overflow","","Long list; source numbering has gaps—verify intended excerpt before treating as typo.","opened; no horizontal overflow"
"B-0117","spotify-artifact","thing","list","0","0.00","all present","opened; no horizontal overflow","","Duplicate playlist title from two rendering branches.","opened; no horizontal overflow"
"B-0118","spotify-artifact","thing","list","0","0.00","all present","opened; no horizontal overflow","","Duplicate playlist title from two rendering branches.","opened; no horizontal overflow"
"B-0119","spotify-artifact","thing","system","1","0.07","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0120","spotify-artifact","thing","list","0","0.00","all present","opened; no horizontal overflow","","Duplicate playlist title and long text in grid.","opened; no horizontal overflow"
"B-0121","spotify-artifact","thing","playlist","1","0.08","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0122","spotify-artifact","thing","list","0","0.00","all present","opened; no horizontal overflow","","Duplicate playlist title from two rendering branches.","opened; no horizontal overflow"
"B-0123","display-case","thing","project","1","3.45","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0124","email","thing","email","1","0.23","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0125","film-strip","thing","project","2","5.42","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0126","scan","thing","art","1","5.50","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0128","polaroid","memory","photograph","1","4.99","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0129","scan","thing","project","1","0.42","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0130","scan","thing","project","1","1.29","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0131","scan","thing","project","1","0.57","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0132","spreadsheet","thing","system","1","0.26","all present","opened; no horizontal overflow","","Dense spreadsheet; meaningful text alternative needed.","opened; no horizontal overflow"
"B-0133","scan","thing","art","1","0.17","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0136","scan","thing","project","1","0.36","all present","opened; no horizontal overflow","No textual context","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0137","journal","memory","journal excerpt","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0138","plain-note","thought","email","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0139","plain-note","thought","note","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0140","sticky-note","thing","note","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0141","project-card","thing","project","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0142","review-card","thing","review","1","0.02","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0143","sticky-note","thing","list","0","0.00","all present","opened; no horizontal overflow","Fabricated date fallback Aug 2026","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0145","notes-app","thought","journal excerpt","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0146","notes-app","thing","note","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0147","sticky-note","thought","note","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0148","plain-note","thought","list","0","0.00","all present","opened; no horizontal overflow","","Grid omits contentEntries; expanded content exists.","opened; no horizontal overflow"
"B-0149","scrap","thought","note","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0151","journal","thought","journal excerpt","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0152","sticky-note","thought","note","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0153","scrap","thought","note","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0154","email","thing","email","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
